date,time,symbol,open,high,low,close,volume
"=""16-02-24""",10:48:00,FINNIFTY,20441.0,20446.0,20437.2,20437.2,0.0
"=""16-02-24""",10:49:00,FINNIFTY,20437.2,20444.05,20437.2,20442.0,0.0
"=""16-02-24""",10:50:00,FINNIFTY,20441.85,20445.0,20436.05,20438.7,0.0
"=""16-02-24""",10:51:00,FINNIFTY,20437.8,20441.0,20434.05,20440.4,0.0
"=""16-02-24""",10:52:00,FINNIFTY,20438.95,20452.2,20438.95,20450.25,0.0
"=""16-02-24""",10:53:00,FINNIFTY,20451.4,20462.65,20449.3,20462.65,0.0
"=""16-02-24""",10:54:00,FINNIFTY,20461.95,20461.95,20450.8,20454.15,0.0
"=""16-02-24""",10:55:00,FINNIFTY,20455.7,20457.95,20452.2,20454.85,0.0
"=""16-02-24""",10:56:00,FINNIFTY,20456.2,20459.95,20453.9,20455.15,0.0
"=""16-02-24""",10:57:00,FINNIFTY,20454.15,20460.05,20451.8,20452.75,0.0
"=""16-02-24""",10:58:00,FINNIFTY,20452.9,20459.55,20452.85,20455.95,0.0
"=""16-02-24""",10:59:00,FINNIFTY,20455.95,20456.0,20447.25,20447.95,0.0
"=""16-02-24""",11:00:00,FINNIFTY,20447.1,20447.1,20438.95,20441.6,0.0
"=""16-02-24""",11:01:00,FINNIFTY,20443.5,20443.5,20431.6,20435.1,0.0
"=""16-02-24""",11:02:00,FINNIFTY,20435.55,20440.4,20434.9,20435.2,0.0
"=""16-02-24""",11:03:00,FINNIFTY,20435.2,20443.95,20434.8,20439.7,0.0
"=""16-02-24""",11:04:00,FINNIFTY,20439.55,20443.05,20436.45,20437.8,0.0
"=""16-02-24""",11:05:00,FINNIFTY,20437.55,20442.8,20437.15,20440.15,0.0
"=""16-02-24""",11:06:00,FINNIFTY,20447.95,20450.1,20445.0,20445.55,0.0
"=""16-02-24""",11:07:00,FINNIFTY,20445.15,20452.25,20444.8,20451.2,0.0
"=""16-02-24""",11:08:00,FINNIFTY,20451.15,20453.45,20447.6,20448.55,0.0
"=""16-02-24""",11:09:00,FINNIFTY,20448.75,20452.55,20447.9,20450.55,0.0
"=""16-02-24""",11:10:00,FINNIFTY,20451.05,20451.7,20441.95,20442.65,0.0
